left,right
0ca,475
0ca,51d
0ca,555
0ca,605
0ca,655
0ca,665
0ca,6a5
0ca,70d
0ca,715
0ca,716
0cc,371
0cc,372
0cc,715
0cc,716
0cf,371
0cf,372
0cf,715
0cf,716
0d8,225
0d8,226
0d8,22f
0d8,267
0d8,305
0d8,306
0d8,30f
0d8,32d
0d8,32e
0d8,347
0d8,365
0d8,366
0d8,605
0d8,606
0d8,60f
0d8,647
0d8,665
0d8,666
0d8,6a5
0d8,6a6
0d8,70d
0d8,70e
0d8,715
0d8,716
0dd,226
0dd,262
0dd,306
0dd,30a
0dd,32e
0dd,366
0dd,36a
0dd,372
0dd,3aa
0dd,606
0dd,666
0dd,6a6
0dd,70e
0dd,716
0de,225
0de,261
0de,305
0de,309
0de,32d
0de,365
0de,369
0de,371
0de,3a9
0de,605
0de,665
0de,6a5
0de,70d
0de,715
0e1,10e
0e1,11a
0e1,11f
0e1,15e
0e1,20e
0e1,25e
0e1,306
0e1,30a
0e1,30c
0e1,30f
0e1,31d
0e1,31e
0e1,32e
0e1,34e
0e1,356
0e1,35a
0e1,35c
0e1,38e
0e1,40e
0e1,416
0e1,41f
0e1,45e
0e1,49e
0e1,50c
0e1,51d
0e1,51e
0e1,54e
0e1,556
0e1,55a
0e1,55c
0e1,58e
0e1,59a
0e1,606
0e1,60f
0e1,64e
0e1,656
0e1,68e
0e1,70d
0e1,70e
0e1,715
0e1,716
0e2,10d
0e2,119
0e2,11f
0e2,15d
0e2,20d
0e2,25d
0e2,305
0e2,309
0e2,30c
0e2,30f
0e2,31d
0e2,31e
0e2,32d
0e2,34d
0e2,355
0e2,359
0e2,35c
0e2,38d
0e2,40d
0e2,415
0e2,41f
0e2,45d
0e2,49d
0e2,50c
0e2,51d
0e2,51e
0e2,54d
0e2,555
0e2,559
0e2,55c
0e2,58d
0e2,599
0e2,605
0e2,60f
0e2,64d
0e2,655
0e2,68d
0e2,70d
0e2,70e
0e2,715
0e2,716
0e7,108
0e7,119
0e7,11a
0e7,158
0e7,309
0e7,30a
0e7,30c
0e7,31d
0e7,31e
0e7,359
0e7,35a
0e7,35c
0e7,50c
0e7,51d
0e7,51e
0e7,559
0e7,55a
0e7,55c
0e7,599
0e7,59a
0e7,70d
0e7,70e
0e7,715
0e7,716
0e8,11f
0e8,157
0e8,305
0e8,306
0e8,30f
0e8,31d
0e8,31e
0e8,347
0e8,355
0e8,356
0e8,415
0e8,416
0e8,41f
0e8,457
0e8,51d
0e8,51e
0e8,555
0e8,556
0e8,605
0e8,606
0e8,60f
0e8,647
0e8,655
0e8,656
0e8,70d
0e8,70e
0e8,715
0e8,716
0eb,204
0eb,254
0eb,305
0eb,306
0eb,30c
0eb,31d
0eb,31e
0eb,355
0eb,356
0eb,35c
0eb,404
0eb,415
0eb,416
0eb,454
0eb,50c
0eb,51d
